tick	action_x	action_y	x	y
109	0	0	192.58578491210938	399.41421508789062
110	0	0	192.58578491210938	399.41421508789062
111	0	0	192.58578491210938	399.41421508789062
112	0	0	192.58578491210938	399.41421508789062
113	0	0	192.58578491210938	399.41421508789062
114	0	0	192.58578491210938	399.41421508789062
115	0	0	192.58578491210938	399.41421508789062
116	0	0	192.58578491210938	399.41421508789062
117	0	0	192.58578491210938	399.41421508789062
118	0	0	192.58578491210938	399.41421508789062
119	0	0	192.58578491210938	399.41421508789062
120	0	0	192.58578491210938	399.41421508789062
121	0	0	192.58578491210938	399.41421508789062
122	0	0	192.58578491210938	399.41421508789062
123	0	0	192.58578491210938	399.41421508789062
124	0	0	192.58578491210938	399.41421508789062
125	0	0	192.58578491210938	399.41421508789062
126	0	0	192.58578491210938	399.41421508789062
127	0	0	192.58578491210938	399.41421508789062
128	0	0	192.58578491210938	399.41421508789062
129	0	0	192.58578491210938	399.41421508789062
130	0	0	192.58578491210938	399.41421508789062
131	0	0	192.58578491210938	399.41421508789062
132	0	0	192.58578491210938	399.41421508789062
133	0	0	192.58578491210938	399.41421508789062
134	0	0	192.58578491210938	399.41421508789062
135	0	0	192.58578491210938	399.41421508789062
136	0	0	192.58578491210938	399.41421508789062
137	0	0	192.58578491210938	399.41421508789062
138	0	0	192.58578491210938	399.41421508789062
139	0	0	192.58578491210938	399.41421508789062
140	0	0	192.58578491210938	399.41421508789062
141	0	0	192.58578491210938	399.41421508789062
142	0	0	192.58578491210938	399.41421508789062
143	0	0	192.58578491210938	399.41421508789062
144	0	0	192.58578491210938	399.41421508789062
145	0	0	192.58578491210938	399.41421508789062
146	0	0	192.58578491210938	399.41421508789062
147	0	0	192.58578491210938	399.41421508789062
148	0	0	192.58578491210938	399.41421508789062
149	0	0	192.58578491210938	399.41421508789062
150	0	0	192.58578491210938	399.41421508789062
151	0	0	192.58578491210938	399.41421508789062
152	0	0	192.58578491210938	399.41421508789062
153	0	0	192.58578491210938	399.41421508789062
154	0	0	192.58578491210938	399.41421508789062
155	0	0	192.58578491210938	399.41421508789062
156	0	0	192.58578491210938	399.41421508789062
157	0	0	192.58578491210938	399.41421508789062
158	0	0	192.58578491210938	399.41421508789062
159	0	0	192.58578491210938	399.41421508789062
160	0	0	192.58578491210938	399.41421508789062
161	0	0	192.58578491210938	399.41421508789062
162	0	0	192.58578491210938	399.41421508789062
163	0	0	192.58578491210938	399.41421508789062
164	0	0	192.58578491210938	399.41421508789062
165	0	0	192.58578491210938	399.41421508789062
166	0	0	192.58578491210938	399.41421508789062
167	0	0	192.58578491210938	399.41421508789062
168	0	0	192.58578491210938	399.41421508789062
169	0	0	192.58578491210938	399.41421508789062
170	0	0	192.58578491210938	399.41421508789062
171	0	0	192.58578491210938	399.41421508789062
172	0	0	192.58578491210938	399.41421508789062
173	0	0	192.58578491210938	399.41421508789062
174	0	0	192.58578491210938	399.41421508789062
175	0	0	192.58578491210938	399.41421508789062
176	0	0	192.58578491210938	399.41421508789062
177	0	0	192.58578491210938	399.41421508789062
178	0	0	192.58578491210938	399.41421508789062
179	0	0	192.58578491210938	399.41421508789062
180	0	0	192.58578491210938	399.41421508789062
181	0	0	192.58578491210938	399.41421508789062
182	0	0	192.58578491210938	399.41421508789062
183	0	0	192.58578491210938	399.41421508789062
184	0	0	192.58578491210938	399.41421508789062
185	0	0	192.58578491210938	399.41421508789062
186	0	0	192.58578491210938	399.41421508789062
187	0	0	192.58578491210938	399.41421508789062
188	0	0	192.58578491210938	399.41421508789062
189	0	0	192.58578491210938	399.41421508789062
190	0	0	192.58578491210938	399.41421508789062
191	0	0	192.58578491210938	399.41421508789062
192	0	0	192.58578491210938	399.41421508789062
193	0	0	192.58578491210938	399.41421508789062
194	0	0	192.58578491210938	399.41421508789062
195	0	0	192.58578491210938	399.41421508789062
196	0	0	192.58578491210938	399.41421508789062
197	0	0	192.58578491210938	399.41421508789062
198	0	0	192.58578491210938	399.41421508789062
199	0	0	192.58578491210938	399.41421508789062
200	0	0	192.58578491210938	399.41421508789062
201	0	0	192.58578491210938	399.41421508789062
202	0	0	192.58578491210938	399.41421508789062
203	0	0	192.58578491210938	399.41421508789062
204	0	0	192.58578491210938	399.41421508789062
205	0	0	192.58578491210938	399.41421508789062
206	0	0	192.58578491210938	399.41421508789062
207	0	0	192.58578491210938	399.41421508789062
208	0	0	192.58578491210938	399.41421508789062
209	0	0	192.58578491210938	399.41421508789062
210	0	0	192.58578491210938	399.41421508789062
211	0	0	192.58578491210938	399.41421508789062
212	0	0	192.58578491210938	399.41421508789062
213	0	0	192.58578491210938	399.41421508789062
214	0	0	192.58578491210938	399.41421508789062
215	0	0	192.58578491210938	399.41421508789062
216	0	0	192.58578491210938	399.41421508789062
217	0	0	192.58578491210938	399.41421508789062
218	0	0	192.58578491210938	399.41421508789062
219	0	0	192.58578491210938	399.41421508789062
220	0	0	192.58578491210938	399.41421508789062
221	0	0	192.58578491210938	399.41421508789062
222	0	0	192.58578491210938	399.41421508789062
223	0	0	192.58578491210938	399.41421508789062
224	0	0	192.58578491210938	399.41421508789062
225	0	0	192.58578491210938	399.41421508789062
