tick	allocated_total	live	lethal	state_digest
69	168	164	143	235730490127514852
70	168	163	142	13872068842422276052
71	168	163	142	12097093582584090071
72	189	184	163	5498702058122588981
73	189	184	163	6732442284450478290
74	189	181	160	1147077490973919931
75	189	181	160	6664115201614845706
76	189	181	160	7879674721152474883
77	189	181	160	17815185855698913985
78	189	179	158	17648869523583681705
79	189	178	157	9627128466776923742
80	189	178	157	6629255614392592450
81	210	199	178	16418357461449079090
82	210	198	177	3592367899476212546
83	210	198	177	8512473686640174408
84	210	197	176	18383222161421644961
85	210	197	176	7086710936070375224
86	210	197	176	7590500906990889604
87	210	197	176	8519153560301997112
88	210	195	174	9833970035004390934
89	210	195	174	12323273716108606998
90	231	216	195	6695194746348606488
91	231	215	194	15769724403679459946
92	231	215	194	16013469480425321995
93	231	215	194	15516087762590251581
94	231	214	193	2273430648878869197
95	231	213	192	16960660376512256963
96	231	212	191	2240391439831132042
97	231	212	191	1618456268541734216
98	231	210	189	1483185648864725074
99	252	228	207	7895461727768831916
100	252	228	207	16453744645726769737
101	252	225	204	14442127340775922658
102	252	225	204	13250918254941991088
103	252	225	204	17567432431348426548
104	252	225	204	17358809368634946105
105	252	224	203	10836987360894113578
106	252	224	203	9986438297134339804
107	252	223	202	16688523912114713533
108	273	244	223	8170024012920393750
109	273	242	221	5689448355552405135
110	273	241	220	7940005834863595897
111	273	240	219	1535767709458041420
112	273	240	219	9310359375044331234
113	273	240	219	4121838065827353574
114	273	239	218	7102098035678221870
115	273	237	216	3185960249838497413
116	273	237	216	11065832687360466348
117	294	257	236	13469306657745139535
118	294	254	233	7278174710399118294
119	294	254	233	1220617766750919342
120	294	252	231	17393158689898314803
121	294	252	231	4706918839240046423
122	294	252	231	3028958592540950806
123	294	252	231	9547849261154850330
124	294	252	231	6284591772602998436
125	294	250	229	1919818726793195199
126	315	271	250	14388258292200139483
127	315	270	249	11208857170811014806
128	315	270	249	14183553856792791490
129	315	270	249	8947749549261820164
130	315	270	249	12079900850814550581
131	315	269	248	8325882635953991625
132	315	268	247	4908884295522593419
133	315	267	246	14667814077681599604
134	315	267	246	7623247608872179083
135	336	286	265	16405466460623645394
136	336	283	262	7408309987722492640
137	336	282	261	14235789705003415905
138	336	282	261	2699284389236072040
139	336	282	261	8899776326039728609
140	336	282	261	2652934163909388571
141	336	280	259	4735015440356271136
142	336	279	258	8087194594002491912
143	336	278	257	15062927575721945777
144	357	298	277	13284307483210135260
145	357	297	276	14683566615301407522
146	357	296	275	17472115873279118795
147	357	296	275	11586769964949784601
148	357	295	274	973235574357180797
149	357	295	274	17972068122103887871
150	357	294	273	9611644176030679509
151	357	294	273	1609884374182043635
152	357	294	273	18315520167171469138
153	378	311	290	5510995896497858476
154	378	311	290	8557400936208260323
155	378	311	290	14131373892597565604
156	378	311	290	4810727604501628427
157	378	310	289	5199088724575350748
158	378	309	288	1214065511926723577
159	378	309	288	1831659147036024704
160	378	308	287	8949160867147137083
161	378	306	285	8366229822061138956
162	399	327	306	7098647779674520193
163	399	327	306	402325973233068431
164	399	326	305	7295024623744750216
165	399	326	305	9398541986320225765
166	399	325	304	14754708930595213056
167	399	325	304	9787583455584605525
168	399	325	304	4134101196606936814
169	399	325	304	14058711212482246273
170	399	324	303	216719425320321092
171	420	345	324	2196778754196916589
172	420	345	324	7285608549298193577
173	420	344	323	1042349195179914738
174	420	344	323	15283478358173307476
175	420	344	323	3549744795098747847
176	420	342	321	13298697084681606616
177	420	341	320	2603213365463566120
178	420	340	319	13392167319666871564
179	420	339	318	8179526483511310863
180	441	358	337	8317843558744450129
181	441	355	334	8259327878182474151
182	441	355	334	14518933829489232546
183	441	355	334	15379526587028168953
184	441	355	334	606885120541444199
185	441	354	333	6385274485563719872
186	441	354	333	1338944993723621082
187	441	354	333	13064805869994278792
188	441	352	331	10793683907770106332
189	462	372	351	16065647291754593922
190	462	372	351	7798468861676558910
191	462	372	351	18240220004260803763
192	462	371	350	21704753668042273
193	462	370	349	15276549716287877433
194	462	370	349	17550821227587734299
195	462	370	349	3588275355211967745
196	462	370	349	3643765827148782307
197	462	369	348	16754662944156331270
198	483	388	367	14976805311390668786
199	483	388	367	5386949568256675781
200	483	388	367	7932991761578622252
201	483	387	366	12091636037463430589
202	483	386	365	3417593300469393746
203	483	386	365	14606178216724556317
204	483	386	365	14929725578329320008
205	483	386	365	16765990511112453077
206	483	385	364	7959446484575822046
207	504	405	384	8921619834716145658
208	504	404	383	5902994346362880039
209	504	402	381	14810681216537042146
210	504	401	380	7216921763457390812
211	504	401	380	1269405559493082907
212	504	401	380	11853477601802286277
213	504	399	378	12749530600008204058
214	504	399	378	10358735782004004353
215	504	397	376	15798767301368715589
216	525	418	397	7960100267243765612
217	525	417	396	896404508375953511
218	525	417	396	12106531229164207586
219	525	416	395	2617352750166753247
220	525	416	395	2481381028797437173
221	525	415	394	12505018045563198265
222	525	415	394	11361027541450398312
223	525	414	393	9365656652524437565
224	525	413	392	1038181500488191994
225	546	434	413	715497647652026016
226	546	433	412	3925325333333977460
227	546	433	412	11385122823178022675
228	546	433	412	6416786431607614344
229	546	431	410	6639759708522588321
230	546	431	410	4319124681522668041
231	546	430	409	5654165426072947003
232	546	430	409	437015903741431786
233	546	430	409	12678660453581112187
234	567	450	429	931508405060593622
235	567	449	428	1028478293252590296
236	567	446	425	4680344152121799986
237	567	446	425	8550666930323929484
238	567	445	424	6469125340539906966
239	567	444	423	820150259665230432
240	567	443	422	17680156691687954732
241	567	443	422	10079197093333004668
242	567	443	422	16361079904367667954
243	588	462	441	10995680881489332220
244	588	462	441	2409707412501831560
245	588	462	441	8380983240143104270
246	588	462	441	5567156898517091499
247	588	462	441	3033722682434494544
248	588	459	438	16828717779884675330
249	588	458	437	10165121341894305179
250	588	456	435	10556700747206632657
251	588	454	433	3717905137159154280
252	609	474	453	17325710171795480035
253	609	473	452	9410978072521503391
254	609	473	452	2209479549086755945
255	609	472	451	11716525512341364853
256	609	472	451	12761419610029008939
257	609	471	450	6396337302526490700
258	609	469	448	3029646979295112512
259	609	469	448	11667655323606816383
260	609	467	446	4210668998205724784
261	630	487	466	4456016908331424532
262	630	486	465	4229980548411741216
263	630	485	464	8604620682097634909
264	630	483	462	4112989277429372126
265	630	482	461	5107505246766587526
266	630	482	461	5537177461352135644
267	630	482	461	17724500519076824946
268	630	480	459	1898096928017061965
269	630	476	455	17765083173898192708
270	651	495	474	2139764102986009829
271	651	494	473	13032433765026142396
272	651	491	470	14633374644045595198
273	651	489	468	8719863204847310117
274	651	489	468	11906452823136420894
275	651	488	467	1138638162050546650
276	651	487	466	9905555683451060304
277	651	487	466	4115752303389782935
278	651	486	465	14818273866090235278
279	672	507	486	15994883548042371856
280	672	506	485	9860308926337126604
281	672	506	485	13672222487580368426
282	672	505	484	13497816656819816110
283	672	503	482	7991280986933574082
